───────────────────────────────────────────────────────────────────────────────
Language            Files       Lines    Blanks  Comments       Code Complexity
───────────────────────────────────────────────────────────────────────────────
Python                174      40,803     4,909     5,258     30,636      1,916
───────────────────────────────────────────────────────────────────────────────
tests\unit\test_builder.py      1,844       157        74      1,613         32
src\schematika\project.py       1,724        87       356      1,281         54
tests\unit\test_project.py      1,605       279       131      1,195         39
~tika\electrical\builder.py     1,421       106       179      1,136        165
~it\test_system_analysis.py     1,041       166       140        735         24
~nit\test_typst_compiler.py     1,041        14        11      1,016         19
tests\unit\test_layout.py         897        37        34        826          7
tests\unit\test_symbols.py        879        34        36        809          0
~sts\unit\test_transform.py       814        94        98        622          6
~\schematika\pcb\builder.py       806       119        88        599         72
~ests\unit\test_block_v2.py       774       141        45        588         44
~unit\test_field_devices.py       748        78        63        607         15
~\schematika\pid\builder.py       738        45       117        576         19
~est_connection_registry.py       685        49        44        592          8
~electrical\plc_resolver.py       629        85       119        425         88
~s\unit\test_pid_symbols.py       628       208        65        355         28
~endering\typst\compiler.py       619        60        65        494         31
~pcb_internal_invariants.py       609         8        90        511          5
~\unit\test_plc_resolver.py       592        37        22        533          1
~ectrical\builder_phases.py       589        64        80        445        106
~sts\unit\test_pcb_model.py       506        93        15        398         18
~\unit\test_export_utils.py       506         8        13        485          0
~lectrical\field_devices.py       480        32       146        302         10
~s\unit\test_pid_diagram.py       448        74        39        335         25
~schematika\block\layout.py       445        33       100        312         42
~ematika\block\rendering.py       444        30        19        395         15
~unit\test_pid_standards.py       421        79        79        263         46
~c\schematika\mcp\server.py       419        34        25        360         13
~c\schematika\core\parts.py       418        22       123        273         14
~chematika\cable\builder.py       406        55        49        302         58
~ectrical\symbols\blocks.py       404        52        95        257         27
~s\unit\test_pid_builder.py       403         9         7        387          1
~trical\symbols\contacts.py       382        35        47        300         22
~hematika\core\transform.py       365        41        28        296         41
~ical\utils\export_utils.py       363        30        93        240         33
~t\test_transform_path_d.py       341        91        56        194          9
~chematika\block\diagram.py       320        46        50        224         33
~lectrical\layout\layout.py       319        48       127        144         24
~ectrical\builder_models.py       318        21        58        239         12
~lectrical\builder_utils.py       304        26        29        249         22
~chematika\pid\constants.py       302         4       105        193          0
~t\test_pcb_label_symbol.py       292        56        11        225          4
~ical\layout\wire_labels.py       290        42       106        142         15
~chematika\core\renderer.py       289        40        62        187         47
~\schematika\block\model.py       278        52        56        170          6
~\utils\terminal_bridges.py       278        16        65        197         10
~tika\pid\symbols\valves.py       271        12        20        239          4
~ika\electrical\__init__.py       265         4        12        249          0
~ematika\pid\connections.py       263        39        65        159         24
~tem\connection_registry.py       258        32        61        165         25
~s\unit\test_pcb_adapter.py       256        31        13        212         13
~\system\system_analysis.py       246        45        42        159         46
~est_auto_pin_allocation.py       231        63        41        127          0
~ectrical\symbols\motors.py       218        46        30        142         18
~tika\core\autonumbering.py       208        20        60        128          9
~est_pcb_traverse_errors.py       206        40         7        159         10
~s\unit\test_project_pid.py       202        54         9        139          5
~nit\test_cable_registry.py       201        49        18        134          4
tests\unit\test_catalog.py        195        39         3        153          6
