= Coverage for C:\Users\OleJohanBondahl\Documents\GitHub_ZEN\Schematika\src\schematika\ =
------------------------------ Detailed Coverage ------------------------------
| Name                                                          |      Status |
|---------------------------------------------------------------|-------------|
| __init__.py (module)                                          |     COVERED |
|---------------------------------------------------------------|-------------|
| project.py (module)                                           |     COVERED |
| _CircuitDef (L46)                                             |     COVERED |
| _PageDef (L62)                                                |     COVERED |
| _PIDDef (L80)                                                 |     COVERED |
| _BlockDiagramDef (L88)                                        |     COVERED |
| _resolve_svg_for_page (L95)                                   |     COVERED |
| Project (L116)                                                |     COVERED |
| Project.__init__ (L158)                                       |      MISSED |
| Project.terminals (L201)                                      |     COVERED |
| Project._terminal_descriptions (L215)                         |      MISSED |
| Project.set_pin_start (L218)                                  |     COVERED |
| Project.circuit (L252)                                        |     COVERED |
| Project.add_circuit (L288)                                    |     COVERED |
| Project.reserve_pins (L317)                                   |     COVERED |
| Project.reserve_pins._reserve_fn (L333)                       |      MISSED |
| Project.set_catalog (L360)                                    |     COVERED |
| Project.catalog (L373)                                        |     COVERED |
| Project.add_pid (L377)                                        |     COVERED |
| Project.pid_page (L399)                                       |     COVERED |
| Project.set_cable_registry (L422)                             |     COVERED |
| Project.cable_registry (L435)                                 |     COVERED |
| Project.add_pcb (L443)                                        |     COVERED |
| Project.add_pcb._wrap (L459)                                  |      MISSED |
| Project.add_block_diagram (L470)                              |     COVERED |
| Project.block_page (L488)                                     |     COVERED |
| Project.plc_rack (L510)                                       |     COVERED |
| Project.external_connections (L527)                           |     COVERED |
| Project.internal_wiring (L545)                                |     COVERED |
| Project.add_field_devices (L554)                              |     COVERED |
| Project.field_devices (L574)                                  |     COVERED |
| Project.inter_device_cables (L601)                            |     COVERED |
| Project.device_registry (L625)                                |     COVERED |
| Project.bridge_groups (L633)                                  |     COVERED |
| Project.wire_connections (L642)                               |     COVERED |
| Project.resolved_connections (L651)                           |     COVERED |
| Project.page (L659)                                           |     COVERED |
| Project.front_page (L676)                                     |     COVERED |
| Project.terminal_report (L685)                                |     COVERED |
| Project.plc_report (L693)                                     |     COVERED |
| Project.custom_page (L710)                                    |     COVERED |
| Project.bom_report (L721)                                     |     COVERED |
| Project.cable_pages (L726)                                    |     COVERED |
| Project.export_wire_labels (L816)                             |     COVERED |
| Project.export_taglist (L823)                                 |     COVERED |
| Project.export_bom_excel (L828)                               |     COVERED |
| Project.export_bom_csv (L833)                                 |     COVERED |
| Project.build_circuits (L842)                                 |     COVERED |
| Project.build (L847)                                          |     COVERED |
| Project.build_svgs (L958)                                     |     COVERED |
| Project.render_svgs (L1000)                                   |     COVERED |
| Project.export_csvs (L1026)                                   |     COVERED |
| Project.compile_pdf (L1045)                                   |     COVERED |
| Project._resolve_field_devices (L1158)                        |     COVERED |
| Project._resolve_terminal_reuse (L1182)                       |     COVERED |
| Project._resolve_template_reuse (L1196)                       |     COVERED |
| Project._build_all_circuits (L1217)                           |     COVERED |
| Project._build_all_pids (L1227)                               |     COVERED |
| Project._render_pid_svgs (L1247)                              |     COVERED |
| Project._build_all_block_diagrams (L1261)                     |     COVERED |
| Project._render_block_svgs (L1276)                            |     COVERED |
| Project._build_one_circuit (L1288)                            |     COVERED |
| Project._build_descriptor_circuit (L1311)                     |     COVERED |
| Project._build_custom_circuit (L1333)                         |     COVERED |
| Project._render_multi_circuit_pages (L1353)                   |     COVERED |
| Project._export_wire_labels (L1387)                           |      MISSED |
| Project._export_taglist (L1407)                               |      MISSED |
| Project._export_bom_excel (L1432)                             |      MISSED |
| Project._export_bom_csv (L1471)                               |      MISSED |
| Project._generate_system_csv (L1489)                          |     COVERED |
| Project._count_terminal_pins (L1535)                          |     COVERED |
| Project._aggregate_bom (L1550)                                |     COVERED |
| Project._generate_bom_typst (L1598)                           |     COVERED |
| Project._add_page_to_compiler (L1640)                         |     COVERED |
| Project._generate_plc_csv (L1692)                             |     COVERED |
|---------------------------------------------------------------|-------------|
| block\__init__.py (module)                                    |     COVERED |
|---------------------------------------------------------------|-------------|
| block\constants.py (module)                                   |     COVERED |
|---------------------------------------------------------------|-------------|
| block\diagram.py (module)                                     |     COVERED |
| BlockDiagram (L44)                                            |     COVERED |
| BlockDiagram.__init__ (L47)                                   |      MISSED |
| BlockDiagram.block (L55)                                      |     COVERED |
| BlockDiagram.cable (L61)                                      |     COVERED |
| BlockDiagram.spread (L84)                                     |     COVERED |
| BlockDiagram.mirror (L106)                                    |     COVERED |
| BlockDiagram.legend (L149)                                    |     COVERED |
| BlockDiagram.notes (L153)                                     |     COVERED |
| BlockDiagram.abbreviations (L157)                             |     COVERED |
| BlockDiagram.render (L161)                                    |     COVERED |
| BlockDiagram._all_blocks (L199)                               |     COVERED |
| BlockDiagram.blocks (L207)                                    |     COVERED |
| BlockDiagram.cables (L212)                                    |     COVERED |
| BlockDiagram.elements (L217)                                  |     COVERED |
| _collect_tree (L228)                                          |      MISSED |
| _collect_tree_ids (L234)                                      |      MISSED |
| _collect_transitive_externals (L240)                          |     COVERED |
| _deep_copy_block (L263)                                       |     COVERED |
| _remap_reference (L292)                                       |     COVERED |
| _flip_placement (L302)                                        |     COVERED |
|---------------------------------------------------------------|-------------|
| block\errors.py (module)                                      |     COVERED |
| BlockError (L4)                                               |     COVERED |
|---------------------------------------------------------------|-------------|
| block\layout.py (module)                                      |     COVERED |
| _estimate_label_width (L24)                                   |     COVERED |
| _compute_contains_size (L29)                                  |     COVERED |
| resolve_sizes (L43)                                           |     COVERED |
| _size_one (L50)                                               |     COVERED |
| _apply_wide (L72)                                             |     COVERED |
| _build_dependency_graph (L89)                                 |     COVERED |
| _topological_sort_blocks (L108)                               |     COVERED |
| _resolve_one (L136)                                           |     COVERED |
| _resolve_next_to (L152)                                       |     COVERED |
| _resolve_vertical (L164)                                      |     COVERED |
| _resolve_horizontal (L176)                                    |     COVERED |
| _apply_align (L188)                                           |     COVERED |
| _resolve_corner (L198)                                        |     COVERED |
| _resolve_corner_inside (L210)                                 |     COVERED |
| _resolve_corner_outside (L228)                                |     COVERED |
| _shift_descendants (L246)                                     |     COVERED |
| _move_block (L254)                                            |     COVERED |
| _compute_spread_positions (L261)                              |     COVERED |
| _resolve_spread_groups (L293)                                 |     COVERED |
| resolve_placements (L315)                                     |     COVERED |
| _place_roots (L344)                                           |     COVERED |
| _categorize_children (L360)                                   |     COVERED |
| _layout_container_children (L384)                             |     COVERED |
| _re_resolve_after_spread (L418)                               |     COVERED |
| _is_spread_member (L437)                                      |     COVERED |
|---------------------------------------------------------------|-------------|
| block\model.py (module)                                       |     COVERED |
| CableStyle (L48)                                              |     COVERED |
| BlockStyle (L76)                                              |     COVERED |
| Placement (L95)                                               |     COVERED |
| Cable (L119)                                                  |     COVERED |
| Block (L137)                                                  |     COVERED |
| Block.__post_init__ (L158)                                    |      MISSED |
| Block.block (L162)                                            |     COVERED |
| Block._check_no_placement (L168)                              |      MISSED |
| Block._set_placement (L179)                                   |      MISSED |
| Block.below (L184)                                            |     COVERED |
| Block.above (L190)                                            |     COVERED |
| Block.right_of (L196)                                         |     COVERED |
| Block.left_of (L202)                                          |     COVERED |
| Block.place (L208)                                            |     COVERED |
| Block.next_to (L233)                                          |     COVERED |
| Block.under (L244)                                            |     COVERED |
| MirroredBlock (L263)                                          |     COVERED |
| MirroredBlock.__init__ (L266)                                 |      MISSED |
| MirroredBlock.root (L271)                                     |      MISSED |
| MirroredBlock.__getitem__ (L274)                              |      MISSED |
|---------------------------------------------------------------|-------------|
| block\rendering.py (module)                                   |     COVERED |
| render_blocks (L33)                                           |     COVERED |
| _render_one_block (L41)                                       |     COVERED |
| _render_tags (L102)                                           |     COVERED |
| render_cables (L152)                                          |     COVERED |
| _cable_pair_key (L168)                                        |     COVERED |
| _block_center (L174)                                          |      MISSED |
| _render_cable_bundle (L178)                                   |     COVERED |
| _determine_sides (L211)                                       |     COVERED |
| _edge_point (L226)                                            |     COVERED |
| _label_position (L240)                                        |     COVERED |
| _route_one_cable (L253)                                       |     COVERED |
| render_legend (L341)                                          |     COVERED |
| render_notes (L403)                                           |     COVERED |
|---------------------------------------------------------------|-------------|
| block\validation.py (module)                                  |     COVERED |
| _block_bbox (L29)                                             |     COVERED |
| _is_child_of (L34)                                            |     COVERED |
| _check_block_overlap (L44)                                    |      MISSED |
| _check_minimum_spacing (L63)                                  |      MISSED |
| _check_cable_label_collision (L83)                            |      MISSED |
| validate_block_diagram (L99)                                  |     COVERED |
|---------------------------------------------------------------|-------------|
| cable\__init__.py (module)                                    |     COVERED |
|---------------------------------------------------------------|-------------|
| cable\builder.py (module)                                     |     COVERED |
| _reorder_pins_last (L34)                                      |     COVERED |
| _build_connector_from_override (L46)                          |     COVERED |
| _build_cable_def (L77)                                        |     COVERED |
| _build_target_connectors (L96)                                |     COVERED |
| _build_drawing_from_triples (L125)                            |     COVERED |
| _build_single_cable_drawing (L163)                            |     COVERED |
| _build_multi_cable_drawings (L191)                            |     COVERED |
| build_cable_drawings (L240)                                   |     COVERED |
| _resolve_inter_device_pins (L300)                             |     COVERED |
| _build_inter_device_drawing (L342)                            |     COVERED |
| build_inter_device_drawings (L382)                            |     COVERED |
|---------------------------------------------------------------|-------------|
| cable\constants.py (module)                                   |     COVERED |
|---------------------------------------------------------------|-------------|
| cable\errors.py (module)                                      |     COVERED |
| CableError (L4)                                               |     COVERED |
|---------------------------------------------------------------|-------------|
| cable\model.py (module)                                       |     COVERED |
| CableConnector (L9)                                           |     COVERED |
| CableDef (L34)                                                |     COVERED |
| CableConnection (L61)                                         |     COVERED |
| CableDrawing (L82)                                            |     COVERED |
|---------------------------------------------------------------|-------------|
| cable\renderer.py (module)                                    |     COVERED |
| _connector_kwargs (L12)                                       |     COVERED |
| _cable_kwargs (L31)                                           |     COVERED |
| render_cable_svg (L50)                                        |     COVERED |
|---------------------------------------------------------------|-------------|
| catalog\__init__.py (module)                                  |     COVERED |
|---------------------------------------------------------------|-------------|
| catalog\cables.py (module)                                    |     COVERED |
| CableSpec (L17)                                               |     COVERED |
| CableSpec.label (L38)                                         |     COVERED |
| CableRegistry (L43)                                           |     COVERED |
| CableRegistry.__init__ (L50)                                  |      MISSED |
| CableRegistry.register (L53)                                  |     COVERED |
